"contrast","effect.size","SE","df","lower.CL","upper.CL"
"4C - 15C",0.521368505757296,0.298519453221719,14.7905511921045,-0.115696320636148,1.15843333215074
"4C - 30C",0.451802634619296,0.297618155271911,14.7905511921045,-0.183338748542137,1.08694401778073
"15C - 30C",-0.0695658711380007,0.294949029085355,14.7905511921045,-0.699011121627646,0.559879379351644
