"bgc_type_lipopeptide","n","median_dg_OD","mean_dg_OD","median_AUC","strains"
"Lichenysin",8,155.99,172.59,691.93,"4-2C3, C8-P4, M2-3-i9, SW1B1, SW1C-HB20, SW2B2, SW2BHB1, SW4C6"
"Surfactin",1,213.53,213.53,1161.14,"SW2C3"
