"contrast","salinity_m","estimate","SE","df","t.ratio","p.value","significance"
"4C - 15C","0.5",0.0411654827929931,0.11833614792346,71.0427064455842,0.347869045218703,0.935533928745007,"ns"
"4C - 30C","0.5",-0.0101350698643679,0.130856180209642,72.2053980407757,-0.0774519770341048,0.996698340463053,"ns"
"15C - 30C","0.5",-0.051300552657361,0.130856180209642,72.2053980407757,-0.392037675065658,0.918872129222582,"ns"
"4C - 15C","1",0.175758516760204,0.11833614792346,71.0427064455849,1.48524791320641,0.304052143499325,"ns"
"4C - 30C","1",0.250200296652887,0.130856180209642,72.205398040776,1.91202506639003,0.142613386314827,"ns"
"15C - 30C","1",0.0744417798926825,0.130856180209642,72.2053980407764,0.568882415591075,0.837057999619534,"ns"
"4C - 15C","1.5",-0.192818586030145,0.11833614792346,71.0427064455845,-1.6294140836396,0.240054369914672,"ns"
"4C - 30C","1.5",0.112835606783673,0.130856180209642,72.205398040776,0.862287181261909,0.665654981868083,"ns"
"15C - 30C","1.5",0.305654192813818,0.130856180209642,72.2053980407764,2.33580249953907,0.0572155464981584,"ns"
