"contrast","estimate","SE","df","t.ratio","p.value","significance"
"4C - 15C",0.175476231422117,0.099248644802532,45.4616862208107,1.76804662442747,0.191786796257629,"ns"
"4C - 30C",0.1520625484549,0.099248644802532,45.4616862208108,1.53213727761672,0.285677641101859,"ns"
"15C - 30C",-0.023413682967217,0.0992486448025319,45.4616862208109,-0.235909346810746,0.969806430644559,"ns"
