"strain","E_cold","E_salt","E_obs","E_bliss","synergy","syn_class"
"M2-3-i9",0.140255938163482,-0.432775104678143,0.941529999832824,-0.231819888194229,1.17334988802705,"Synergistic"
"M2-6B2",3.41453698376167,2.63864756366447,1.81208938292159,-2.95657514581882,4.76866452874041,"Synergistic"
"SW1B1",-0.768195186766595,-0.535931982512191,-0.612216643846037,-1.71582753867893,1.10361089483289,"Synergistic"
"SW1C-HB20",0.209503849782231,-0.367801189329354,0.160330578512396,-0.0812415744281406,0.241572152940537,"Synergistic"
"SW2B2",-0.646823348732989,-0.506228408859987,-0.615389825916143,-1.48049211223557,0.865102286319422,"Synergistic"
"SW2BHB1",-0.694304682040531,-0.553304233235141,-0.463451514280161,-1.63177063500368,1.16831912072352,"Synergistic"
"SW2C3",0.807048458149779,-0.419770144838012,0.963307868175987,0.726053161480594,0.237254706695394,"Synergistic"
"SW4C6",2.08806207159943,0.650673956075027,2.35087985436893,1.38008841901664,0.970791435352291,"Synergistic"
