experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp3,temp_only,4-2C6,15°C,0,2,3,55.72,0.08333333333333333,0.087,0.089,0.074,69.16,13.439999999999998,161.27999999999997,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,2,3,53.97,0.322,0.318,0.322,0.326,69.21,15.239999999999995,47.32919254658383,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,2,3,69.33,0.049666666666666665,0.043,0.052,0.054,69.86,0.5300000000000011,10.671140939597338,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,15°C,0,2,3,65.62,0.12,0.115,0.118,0.127,69.71,4.089999999999989,34.08333333333324,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,30°C,0,2,3,62.57,0.3093333333333333,0.309,0.302,0.317,69.16,6.589999999999996,21.30387931034482,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW4C6,4°C,0,2,3,67.82,0.057666666666666665,0.064,0.054,0.055,69.11,1.2900000000000063,22.369942196531902,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,15°C,0,2,3,60.53,0.121,0.119,0.124,0.12,68.98,8.450000000000003,69.83471074380168,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,30°C,0,2,3,60.93,0.12266666666666666,0.121,0.122,0.125,69.31,8.380000000000003,68.31521739130437,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,4-2C6,4°C,0,3,5,52.53,0.14300000000000002,0.144,0.14,0.145,69.02,16.489999999999995,115.31468531468526,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,15°C,0,3,5,49.27,0.331,0.332,0.328,0.333,69.16,19.889999999999993,60.09063444108759,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,3,5,55.16,0.32466666666666666,0.326,0.322,0.326,69.21,14.049999999999997,43.27515400410677,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,3,5,67.01,0.15166666666666664,0.146,0.154,0.155,69.86,2.8499999999999943,18.791208791208756,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,15°C,0,3,5,66.15,0.3419999999999999,0.336,0.346,0.344,69.71,3.559999999999988,10.409356725146166,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,30°C,0,3,5,67.62,0.17866666666666667,0.173,0.174,0.189,69.16,1.539999999999992,8.619402985074583,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW4C6,4°C,0,3,5,51.07,0.21,0.185,0.186,0.259,69.11,18.04,85.9047619047619,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,15°C,0,3,5,54.22,0.5263333333333334,0.524,0.524,0.531,68.98,14.760000000000005,28.043065231158966,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,30°C,0,3,5,57.72,0.327,0.321,0.328,0.332,69.31,11.590000000000003,35.443425076452606,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,4-2C6,4°C,0,4,7,49.19,0.22533333333333336,0.222,0.227,0.227,69.02,19.83,88.00295857988164,NA,NA,NA,NA,NA,FALSE
