experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp4,temp_only,H5B,4°C,0,5,9,64.23,0.48500000000000004,0.472,0.487,0.496,69.67,5.439999999999998,11.216494845360819,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,15°C,0,5,9,63.78,0.33966666666666673,0.335,0.342,0.342,69.61,5.829999999999998,17.163886162904802,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,30°C,0,5,9,56.23,0.25566666666666665,0.256,0.255,0.256,69.36,13.130000000000003,51.35593220338984,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,C8-P4,4°C,0,5,9,32.13,0.4763333333333333,0.474,0.478,0.477,69.14,37.01,77.69769069279216,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,15°C,0,5,9,39.79,0.17966666666666664,0.176,0.18,0.183,68.34,28.550000000000004,158.9053803339518,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,30°C,0,5,9,40.3,0.21166666666666667,0.211,0.211,0.213,69.37,29.070000000000007,137.3385826771654,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW2B-HB1,4°C,0,5,9,26.03,0.6469999999999999,0.657,0.678,0.606,69.54,43.510000000000005,67.24884080370944,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,15°C,0,5,9,29.84,0.15366666666666665,0.153,0.154,0.154,69.58,39.739999999999995,258.6117136659436,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,30°C,0,5,9,31.65,0.13466666666666668,0.135,0.131,0.138,69.58,37.93,281.65841584158414,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW1C-HB20,4°C,0,5,9,67.69,0.07466666666666667,0.072,0.064,0.088,69.4,1.710000000000008,22.90178571428582,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,15°C,0,5,9,66.97,0.18133333333333335,0.182,0.18,0.182,69.33,2.3599999999999994,13.014705882352937,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,30°C,0,5,9,66.61,0.244,0.243,0.242,0.247,69.48,2.8700000000000045,11.762295081967231,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,H5G,4°C,0,6,11,69.41,0.2293333333333333,0.219,0.223,0.246,69.43,0.020000000000010232,0.08720930232562601,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,15°C,0,6,11,65.89,0.5653333333333334,0.56,0.564,0.572,69.25,3.3599999999999994,5.943396226415093,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,30°C,0,6,11,51.01,0.13366666666666668,0.128,0.134,0.139,69.31,18.300000000000004,136.90773067331673,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,4°C,0,6,11,63.68,0.4383333333333333,0.428,0.445,0.442,69.67,5.990000000000002,13.665399239543731,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,15°C,0,6,11,61.48,0.327,0.324,0.328,0.329,69.61,8.130000000000003,24.862385321100923,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,30°C,0,6,11,55.01,0.3236666666666667,0.324,0.318,0.329,69.36,14.350000000000001,44.33573635427394,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,C8-P4,4°C,0,6,11,30.21,0.45533333333333337,0.451,0.455,0.46,69.14,38.93,85.49780380673498,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,15°C,0,6,11,38.22,0.23399999999999999,0.235,0.235,0.232,68.34,30.120000000000005,128.71794871794876,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,30°C,0,6,11,39.47,0.19566666666666666,0.198,0.195,0.194,69.37,29.900000000000006,152.8109028960818,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW2B-HB1,4°C,0,6,11,24.03,0.5206666666666667,0.537,0.523,0.502,69.54,45.510000000000005,87.40717029449424,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,15°C,0,6,11,28.4,0.131,0.138,0.142,0.113,69.58,41.18,314.35114503816794,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,30°C,0,6,11,30.09,0.13,0.129,0.128,0.133,69.58,39.489999999999995,303.7692307692307,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW1C-HB20,4°C,0,6,11,68.44,0.04666666666666667,0.051,0.044,0.045,69.4,0.960000000000008,20.57142857142874,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,15°C,0,6,11,66.35,0.11666666666666665,0.118,0.118,0.114,69.33,2.980000000000004,25.54285714285718,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,30°C,0,6,11,65.54,0.17533333333333334,0.178,0.175,0.173,69.48,3.9399999999999977,22.471482889733828,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,4°C,0,1,1,69.11,0.021,0.021,0.021,0.02,69.11,0,0,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,15°C,0,1,1,69.23,0.021,0.021,0.022,0.021,69.23,0,0,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,30°C,0,1,1,69.18,0.023,0.022,0.024,0.022,69.18,0,0,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,4°C,0,1,1,70.07,0.02,0.019,0.021,0.02,70.07,0,0,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,15°C,0,1,1,69.95,0.018,0.018,0.018,0.019,69.95,0,0,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,30°C,0,1,1,69.99,0.024,0.024,0.024,0.023,69.99,0,0,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,H2E-10C,4°C,0,1,1,68.86,0.02,0.02,0.02,0.019,68.86,0,0,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,15°C,0,1,1,68.37,0.023,0.023,0.021,0.024,68.37,0,0,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,30°C,0,1,1,68.85,0.02,0.018,0.021,0.02,68.85,0,0,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,SW1C2,4°C,0,1,1,69.56,0.023,0.022,0.023,0.023,69.56,0,0,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,15°C,0,1,1,69.77,0.023,0.024,0.023,0.022,69.77,0,0,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,30°C,0,1,1,69.75,0.025,0.026,0.025,0.025,69.75,0,0,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW2B2,4°C,0,1,1,69.14,0.016,0.017,0.015,0.017,69.14,0,0,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,15°C,0,1,1,68.97,0.023,0.025,0.022,0.023,68.97,0,0,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,30°C,0,1,1,69.29,0.022,0.021,0.024,0.022,69.29,0,0,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,M2-6B2,4°C,0,1,1,69.35,0.019,0.018,0.02,0.02,69.35,0,0,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,15°C,0,1,1,69.28,0.019,0.02,0.018,0.019,69.28,0,0,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,30°C,0,1,1,69.95,0.022,0.022,0.022,0.022,69.95,0,0,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C-HB20,4°C,0,1,1,68.78,0.019,0.017,0.019,0.02,68.78,0,0,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,15°C,0,1,1,68.3,0.022,0.023,0.02,0.022,68.3,0,0,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,30°C,0,1,1,68.44,0.02,0.02,0.02,0.019,68.44,0,0,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,4°C,0,2,3,69.07,0.043,0.043,0.044,0.042,69.11,0.04000000000000625,0.9302325581396804,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,15°C,0,2,3,65.51,0.181,0.183,0.185,0.176,69.23,3.719999999999999,20.552486187845297,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,30°C,0,2,3,63.3,0.369,0.361,0.372,0.374,69.18,5.88000000000001,15.934959349593523,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,4°C,0,2,3,67.29,0.044,0.045,0.044,0.043,70.07,2.779999999999987,63.18181818181789,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,15°C,0,2,3,45.79,0.364,0.369,0.362,0.362,69.95,24.160000000000004,66.37362637362638,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,30°C,0,2,3,55.79,0.389,0.387,0.392,0.389,69.99,14.199999999999996,36.503856041131094,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,H2E-10C,4°C,0,2,3,65.99,0.571,0.572,0.573,0.568,68.86,2.8700000000000045,5.026269702276716,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,15°C,0,2,3,66.93,0.601,0.602,0.603,0.599,68.37,1.4399999999999977,2.3960066555740394,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,30°C,0,2,3,68.8,0.399,0.394,0.396,0.408,68.85,0.04999999999999716,0.1253132832080129,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,SW1C2,4°C,0,2,3,62.13,0.04,0.04,0.042,0.039,69.56,7.43,185.75,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,15°C,0,2,3,62.32,0.127,0.108,0.098,0.176,69.77,7.449999999999996,58.66141732283461,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,30°C,0,2,3,62.89,0.39,0.389,0.39,0.39,69.75,6.859999999999999,17.589743589743588,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW2B2,4°C,0,2,3,66.26,0.079,0.079,0.087,0.07,69.14,2.8799999999999955,36.45569620253159,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,15°C,0,2,3,68.6,0.557,0.544,0.562,0.566,68.97,0.37000000000000455,0.6642728904847478,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,30°C,0,2,3,69.04,0.352,0.349,0.356,0.352,69.29,0.25,0.7102272727272728,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,M2-6B2,4°C,0,2,3,69.01,0.049,0.056,0.052,0.04,69.35,0.3399999999999892,6.938775510203861,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,15°C,0,2,3,69.26,0.55,0.542,0.546,0.562,69.28,0.01999999999999602,0.036363636363629125,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,30°C,0,2,3,69.19,0.36,0.358,0.362,0.359,69.95,0.7600000000000051,2.1111111111111254,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C-HB20,4°C,0,2,3,68.09,0.045,0.044,0.041,0.051,68.78,0.6899999999999977,15.333333333333284,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,15°C,0,2,3,63.04,0.19,0.186,0.195,0.19,68.3,5.259999999999998,27.684210526315777,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,30°C,0,2,3,61.64,0.378,0.37,0.378,0.385,68.44,6.799999999999997,17.989417989417984,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,4°C,0,3,5,69.19,0.045,0.046,0.044,0.045,69.11,-0.0799999999999983,-1.77777777777774,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,15°C,0,3,5,56.65,0.339,0.341,0.34,0.337,69.23,12.580000000000005,37.109144542772874,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,30°C,0,3,5,57.69,0.344,0.339,0.345,0.348,69.18,11.490000000000009,33.401162790697704,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,4°C,0,3,5,66.42,0.038,0.038,0.038,0.037,70.07,3.6499999999999915,96.05263157894714,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,15°C,0,3,5,46.45,0.346,0.341,0.349,0.349,69.95,23.5,67.91907514450868,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,30°C,0,3,5,51.22,0.296,0.28,0.289,0.318,69.99,18.769999999999996,63.412162162162154,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,H2E-10C,4°C,0,3,5,63.8,0.517,0.518,0.521,0.512,68.86,5.060000000000002,9.787234042553196,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,15°C,0,3,5,66.32,0.457,0.458,0.458,0.456,68.37,2.0500000000000114,4.485776805251666,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,30°C,0,3,5,68.71,0.31,0.309,0.309,0.311,68.85,0.14000000000000057,0.45161290322580827,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,SW1C2,4°C,0,3,5,59.43,0.038,0.038,0.038,0.037,69.56,10.130000000000003,266.57894736842115,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,15°C,0,3,5,58.74,0.398,0.379,0.4,0.414,69.77,11.029999999999994,27.713567839195964,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,30°C,0,3,5,59.35,0.364,0.364,0.365,0.363,69.75,10.399999999999999,28.57142857142857,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW2B2,4°C,0,3,5,63.41,0.065,0.064,0.066,0.065,69.14,5.730000000000004,88.15384615384622,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,15°C,0,3,5,66.34,0.502,0.498,0.504,0.504,68.97,2.6299999999999955,5.239043824701186,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,30°C,0,3,5,68.59,0.272,0.274,0.273,0.27,69.29,0.7000000000000028,2.5735294117647163,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,M2-6B2,4°C,0,3,5,69.32,0.097,0.099,0.099,0.094,69.35,0.030000000000001137,0.30927835051547564,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,15°C,0,3,5,69.06,0.473,0.472,0.474,0.474,69.28,0.21999999999999886,0.46511627906976505,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,30°C,0,3,5,69.31,0.337,0.338,0.339,0.334,69.95,0.6400000000000006,1.899109792284868,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C-HB20,4°C,0,3,5,68.23,0.052,0.052,0.052,0.053,68.78,0.5499999999999972,10.576923076923023,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,15°C,0,3,5,58.45,0.432,0.438,0.429,0.429,68.3,9.849999999999994,22.800925925925913,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,30°C,0,3,5,51.87,0.337,0.331,0.342,0.337,68.44,16.57,49.16913946587537,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,4°C,0,4,7,61.76,0.038,0.037,0.038,0.039,69.11,7.350000000000001,193.421052631579,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,15°C,0,4,7,46.88,0.41,0.409,0.409,0.411,69.23,22.35,54.51219512195123,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,30°C,0,4,7,46.33,0.32,0.316,0.318,0.327,69.18,22.85000000000001,71.40625000000003,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,4°C,0,4,7,63.63,0.045,0.058,0.038,0.038,70.07,6.439999999999991,143.11111111111092,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,15°C,0,4,7,48.2,0.403,0.393,0.407,0.408,69.95,21.75,53.97022332506203,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,30°C,0,4,7,46.72,0.321,0.32,0.32,0.324,69.99,23.269999999999996,72.49221183800621,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,H2E-10C,4°C,0,4,7,63.09,0.531,0.532,0.532,0.529,68.86,5.769999999999996,10.866290018832384,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,15°C,0,4,7,63.74,0.397,0.396,0.399,0.395,68.37,4.630000000000003,11.662468513853911,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,30°C,0,4,7,68.13,0.297,0.293,0.298,0.299,68.85,0.7199999999999989,2.4242424242424203,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,SW1C2,4°C,0,4,7,67.38,0.044,0.045,0.043,0.043,69.56,2.180000000000007,49.5454545454547,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,15°C,0,4,7,49.82,0.415,0.328,0.33,0.588,69.77,19.949999999999996,48.072289156626496,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,30°C,0,4,7,52.58,0.312,0.311,0.312,0.313,69.75,17.17,55.032051282051285,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW2B2,4°C,0,4,7,62.74,0.145,0.136,0.14,0.159,69.14,6.399999999999999,44.137931034482754,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,15°C,0,4,7,62.59,0.318,0.315,0.319,0.32,68.97,6.3799999999999955,20.062893081760993,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,30°C,0,4,7,68.29,0.242,0.25,0.242,0.234,69.29,1,4.132231404958678,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,M2-6B2,4°C,0,4,7,65.34,0.127,0.077,0.078,0.225,69.35,4.009999999999991,31.57480314960623,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,15°C,0,4,7,63.88,0.365,0.355,0.37,0.369,69.28,5.399999999999999,14.794520547945202,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,30°C,0,4,7,67.1,0.293,0.291,0.293,0.294,69.95,2.8500000000000085,9.726962457337914,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C-HB20,4°C,0,4,7,64.08,0.063,0.046,0.069,0.074,68.78,4.700000000000003,74.60317460317465,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,15°C,0,4,7,48.46,0.476,0.472,0.475,0.48,68.3,19.839999999999996,41.68067226890756,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,30°C,0,4,7,47.05,0.248,0.244,0.25,0.249,68.44,21.39,86.25,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,4°C,0,5,9,65.32,0.069,0.071,0.069,0.067,69.11,3.7900000000000063,54.92753623188415,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,15°C,0,5,9,48.16,0.285,0.281,0.29,0.285,69.23,21.070000000000007,73.92982456140354,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,30°C,0,5,9,52.31,0.282,0.276,0.281,0.29,69.18,16.870000000000005,59.82269503546102,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,4°C,0,5,9,63.49,0.048,0.049,0.047,0.048,70.07,6.579999999999991,137.08333333333314,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,15°C,0,5,9,45.93,0.266,0.266,0.269,0.264,69.95,24.020000000000003,90.30075187969925,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,30°C,0,5,9,46.54,0.265,0.26,0.263,0.273,69.99,23.449999999999996,88.49056603773583,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,H2E-10C,4°C,0,5,9,63.19,0.48,0.477,0.477,0.487,68.86,5.670000000000002,11.812500000000004,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,15°C,0,5,9,67.1,0.253,0.257,0.248,0.253,68.37,1.2700000000000102,5.019762845849843,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,30°C,0,5,9,69.36,0.276,0.267,0.273,0.287,68.85,-0.5100000000000051,-1.8478260869565402,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,SW1C2,4°C,0,5,9,63.93,0.119,0.121,0.118,0.118,69.56,5.630000000000003,47.31092436974792,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,15°C,0,5,9,44.8,0.29,0.292,0.285,0.292,69.77,24.97,86.10344827586206,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,30°C,0,5,9,53.96,0.359,0.359,0.356,0.362,69.75,15.79,43.98328690807799,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW2B2,4°C,0,5,9,57.97,0.11,0.115,0.104,0.111,69.14,11.170000000000002,101.54545454545456,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,15°C,0,5,9,61.88,0.208,0.207,0.209,0.207,68.97,7.089999999999996,34.086538461538446,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW2B2,30°C,0,5,9,69.28,0.207,0.193,0.202,0.226,69.29,0.010000000000005116,0.04830917874398607,A5,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,M2-6B2,4°C,0,5,9,44.7,0.157,0.159,0.157,0.156,69.35,24.64999999999999,157.00636942675155,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,15°C,0,5,9,55.15,0.194,0.188,0.198,0.196,69.28,14.130000000000003,72.83505154639177,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,M2-6B2,30°C,0,5,9,64.85,0.221,0.222,0.223,0.219,69.95,5.1000000000000085,23.076923076923116,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C-HB20,4°C,0,5,9,50.22,0.061,0.063,0.06,0.06,68.78,18.560000000000002,304.26229508196724,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,15°C,0,5,9,55.73,0.34,0.335,0.337,0.347,68.3,12.57,36.970588235294116,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1C-HB20,30°C,0,5,9,48.17,0.224,0.221,0.225,0.227,68.44,20.269999999999996,90.4910714285714,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,4°C,0,6,11,43.01,0.136,0.13,0.141,0.137,69.11,26.1,191.91176470588235,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,15°C,0,6,11,41.12,0.259,0.26,0.261,0.257,69.23,28.110000000000007,108.53281853281855,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,C8-P4,30°C,0,6,11,46.52,0.265,0.266,0.272,0.257,69.18,22.660000000000004,85.50943396226415,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,4°C,0,6,11,39.42,0.135,0.132,0.135,0.138,70.07,30.64999999999999,227.03703703703695,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,15°C,0,6,11,36.4,0.243,0.245,0.242,0.242,69.95,33.550000000000004,138.0658436213992,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,SW1B1,30°C,0,6,11,40.56,0.259,0.257,0.255,0.265,69.99,29.429999999999993,113.6293436293436,A4,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp5,temp_only,H2E-10C,4°C,0,6,11,57.17,0.408,0.418,0.415,0.392,68.86,11.689999999999998,28.651960784313722,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,15°C,0,6,11,63.66,0.215,0.212,0.213,0.219,68.37,4.710000000000008,21.906976744186085,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,H2E-10C,30°C,0,6,11,67.8,0.255,0.256,0.257,0.253,68.85,1.0499999999999972,4.117647058823518,A6,P. frigoritolerans,Qaidam,FALSE,NA,TRUE
exp5,temp_only,SW1C2,4°C,0,6,11,61.19,0.266,0.265,0.307,0.227,69.56,8.370000000000005,31.46616541353385,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,15°C,0,6,11,43.81,0.255,0.258,0.258,0.25,69.77,25.959999999999994,101.80392156862743,NA,NA,NA,NA,NA,FALSE
exp5,temp_only,SW1C2,30°C,0,6,11,48.76,0.3,0.309,0.291,0.3,69.75,20.990000000000002,69.96666666666668,NA,NA,NA,NA,NA,FALSE
